Afghan Hound,AfghanHound.jpg,H,H,H,L,0,0,LG,LG,https://en.wikipedia.org/wiki/Afghan_Hound,Hound Dogs,2 ft to 2'4 ft,50 to 60 lbs,10 to 12 yrs,
Basset Hound,BassetHound.jpg,M,L,L,M,1,1,SH,MD,https://en.wikipedia.org/wiki/Basset_Hound,Hound Dogs,1'2 ft,50 to 65 lbs,10 to 12 yrs,
Beagle,Beagle.jpg,H,L,M,M,1,0,SH,MD,https://en.wikipedia.org/wiki/Beagle,Hound Dogs,1 ft to 1'3 ft,18 to 30 lbs,10 to 15 yrs,
Bichon Frise,BichonFrise.jpg,H,L,H,H,1,0,MD,SM,https://en.wikipedia.org/wiki/Bichon_Frise,Companion Dogs,9 in to 11 in,7 to 12 lbs,12 to 15 yrs,
Borzoi,Borzoi.jpg,H,H,H,H,0,0,LG,LG,https://en.wikipedia.org/wiki/Borzoi,Hound Dogs,2'2 ft to 2'8 ft,55 to 105 lbs,10 to 12 yrs,
Bulldog,Bulldog.jpg,M,L,L,M,0,1,SH,MD,https://en.wikipedia.org/wiki/Bulldog,Companion Dogs,1 ft to 1'3 ft,40 to 50 lbs,8 to 12 yrs,
Cavalier King Charles Spaniel,CavalierKingCharlesSpaniel.jpg,M,M,H,M,1,0,MD,SM,https://en.wikipedia.org/wiki/Cavalier_King_Charles_Spaniel,Companion Dogs,1 ft to 1'1 ft,13 to 18 lbs,9 to 15 yrs,
Chow Chow,ChowChow.jpg,M,H,H,H,0,1,LG,LG,https://en.wikipedia.org/wiki/Chow_Chow,Working Dogs,1'5 ft to 1'8 ft,40 to 70 lbs,12 to 15 yrs,
Dalmation,Dalmation.jpg,H,L,M,H,0,0,SH,LG,https://en.wikipedia.org/wiki/Dalmatian_dog,Companion Dogs,1'7 ft to 2 ft,48 to 55 lbs,13 to 16 yrs,
Golden Retriever,GoldenRetriever.jpg,H,H,M,H,1,0,LG,LG,https://en.wikipedia.org/wiki/Golden_Retriever,Sporting Dogs,1'9 ft to 2 ft,55 to 75 lbs,10 to 12 yrs,
Maltese,Maltese.jpg,H,H,H,H,1,0,LG,MI,https://en.wikipedia.org/wiki/Maltese_dog,Companion Dogs,8 in to 10 in,7 lbs,12 to 15 yrs,
Newfoundland,Newfoundland.jpg,H,H,M,H,1,1,LG,GI,https://en.wikipedia.org/wiki/Newfoundland_dog,Working Dogs,2'1 ft to 2'5 ft,100 to 150 lbs,8 to 10 yrs,
Old English Sheepdog,OldEnglishSheepdog.jpg,H,H,H,M,1,1,LG,GI,https://en.wikipedia.org/wiki/Old_English_Sheepdog,Herding Dogs,1'9 ft,N/A,10 to 12 yrs,
Pug,Pug.jpg,H,L,L,L,1,0,SH,MI,https://en.wikipedia.org/wiki/Pug,Companion Dogs,10 in to 1'2 ft,14 to 18 lbs,12 to 15 yrs,
West Highland White Terrier,WestHighlandWhiteTerrier.jpg,H,M,M,H,1,0,MD,SM,https://en.wikipedia.org/wiki/West_Highland_White_Terrier,Terrier Dogs,10in to 11 in,13 to 22 lbs,12 to 16 yrs
